datetime,grdpiece
2020-12-16 21:42:29,6.4
2020-12-16 21:57:29,6.4
2020-12-16 22:12:29,6.4
2020-12-16 22:27:29,6.4
2020-12-16 22:42:29,6.4
2020-12-16 22:57:29,6.4
2020-12-16 23:12:29,6.4
2020-12-16 23:27:29,6.4
2020-12-16 23:42:29,6.4
2020-12-16 23:57:29,6.4
2020-12-17 00:12:29,6.4
2020-12-17 00:27:29,6.4
2020-12-17 00:42:29,6.4
2020-12-17 00:57:29,6.4
2020-12-17 01:12:29,6.4
2020-12-17 01:27:29,6.4
2020-12-17 01:42:29,6.4
2020-12-17 01:57:29,6.4
2020-12-17 02:12:29,6.4
2020-12-17 02:27:29,6.4
2020-12-17 02:42:29,6.4
2020-12-17 02:57:29,6.4
2020-12-17 03:12:29,6.4
2020-12-17 03:27:29,6.4
2020-12-17 03:42:29,6.4
2020-12-17 03:57:29,6.4
2020-12-17 04:12:29,6.4
2020-12-17 04:27:29,6.4
2020-12-17 04:42:29,6.4
2020-12-17 04:57:29,6.4
2020-12-17 05:12:29,6.4
2020-12-17 05:27:29,6.4
2020-12-17 05:42:29,6.4
2020-12-17 05:57:29,6.4
2020-12-17 06:12:29,6.4
2020-12-17 06:27:29,6.4
2020-12-17 06:42:29,6.4
2020-12-17 06:57:29,6.4
2020-12-17 07:12:29,6.4
2020-12-17 07:27:29,6.4
2020-12-17 07:42:29,6.4
2020-12-17 07:57:29,6.4
2020-12-17 08:12:29,6.4
2020-12-17 08:27:29,6.4
2020-12-17 08:42:29,6.4
2020-12-17 08:57:29,6.4
2020-12-17 09:12:29,6.4
2020-12-17 09:27:29,6.4
2020-12-17 09:42:29,6.4
2020-12-17 09:57:29,6.4
2020-12-17 10:12:29,6.4
2020-12-17 10:27:29,6.4
2020-12-17 10:42:29,6.4
2020-12-17 10:57:29,6.4
2020-12-17 11:12:29,6.4
2020-12-17 11:27:29,6.4
2020-12-17 11:42:29,6.4
2020-12-17 11:57:29,6.4
2020-12-17 12:12:29,6.4
